area,centre_count
80 Feet Road HAL 2nd Stage Indiranagar,1
4th Stage Basaveshwara Nagar,1
4th Phase Yelahanka New Town,1
3rd Floor RMV Extension 2nd Stage,1
2nd Stage Rajajinagar,1
2nd Stage Indiranagar,1
2nd Phase Vijaynagar 4th Stage,1
2nd Phase Girinagar,1
2nd Floor Jp Nagar 7th Phase,1
21st Km Kanakapura Road,1
1st Sector Hsr Layout,1
1st Phase Bharat Nagar,1
16th Jp Nagar 5th Phase,1
12 Bangalore Highways Karumbalai Karuppur,1
108 3RD FLOOR 4TH Nagasandra,1
100 Feet Road Indiranagar Indiranagar,1
100 Feet Main Road Jayanagar,1
1 Street Main Road Ilyas Nagar,1
80 Feet Road Koramangala,1
80 Feet Road Padmanabhanagar,1
80 Feet Road Rt Nagar,1
An Gupta Layout,1
Arakere,1
Anugraha Layout,1
Annasandrapalya Extension,1
Anjaneya Nagar Banashankari 3rd Stage,1
Anjanapura,1
Anekal Taluk Attibele,1
Anekal Main Road Tavarekere Road,1
Anand Layout Vidyaranyapura,1
Amruthur Road Yediyur,1
80 Feet Road Vijayanagar,1
Amruthalli Main Road Jakkur Jakkur,1
Al Badar Road Rajivnagar,1
Agb Layout Chikkabanavara Bengaluru Chikbanavara,1
Aecs Layout Kundalahalli,1
Aecs Layout C Block Aecs Layout Bengaluru Brookefield,1
9th Crs Jayanagar,1
8th Mile Peenya Nagasandra,1
80Feet RT Nagar Main Road Rt Nagar,1
Devasthanagalu,1
Dodda Basti Main Road Sonnenahalli,1
Dollars Colony-RMV 2nd Stage,1
Double Road Doddakallasandra,1
K. R. Road Jayanagar,1
K Narayanapura Road Kothanur,1
K H Road Shanthinagar,1
Judicial Layout Gkvk,1
Jp Nagar,1
Joyshree Sangha Kalitala Kolkata Bansdroni,1
Jindal,1
Jakkur Plantation,1
J.p Nagar 6th Jp Nagar,1
Ivri Road Yelahanka,1
Ittamadu,1
Ist Cross Road Bhagyalakshmi Avenue,1
Immadihalli Main Road Whitefield,1
ITI Layout Kathriguppe,1
Hsr Layout Sector 4,1
Hsr Layout Sector 2,1
Hsr Layout Sector 1,1
Hosur Main Road Electronic City Phase 2,1
Horamavu Main Road Banaswadi,1
KV Layout Jayanagar,1
Kachohalli Main Road ISRO Layout Kumaraswamy,1
Kagdaspura Main Road C V Raman Nagar,1
Kothanur Post Office Road Kothanur,1
Kundanahalli Kundalahalli,1
Kumaraswamy Layout Kumaraswamy Layout 1st Stage,1
Kumaraswamy Layout 2 Stage,1
Krishnarajapuram,1
Krishnappa Garden C V Raman Nagar,1
Krishnagiri Bye Pass Road Jalagandeswarar Nagar,1
Kothnur Village Main Road Jp Nagar,1
Kothnur Main Road Jp Nagar 7th Phase,1
Kormangala Koramangala,1
Kaggadasapura Main Road Kagadasspura,1
Konanakunte Main Road Konanakunte Cross,1
Kogilu Main Road Kogilu,1
Kodigehalli Police Station Kodigehalli,1
#44 CNR Complex Vinayaka Nagar Yelahanka,1
Kempegowda Layout Outer Ring Road Laggere,1
Kasturba Cross Road Lavelle Road,1
Kammanahalli Main Road Kammanahalli,1
Kammanahalli,1
Hill View Residency Road Uttarahalli,1
Hessargatta Main Road,1
Hesarghatta Main Road Hessargatta Main Road,1
Gaddige Main Road Bogadi,1
Govindaraj Nagar-Vijaynagar,1
Gnana Bharathi Main Road Nagarbhavi,1
Girinagar,1
Giddenahalli Road Jigani,1
Garvebhavipalya,1
Gangadhar Chetty Road Ulsoor,1
Gandhi Circle Varthur Varthur,1
Gandhi Bazaar main road Basavanagudi,1
GR Arcade Kasavanahalli,1
Gowri Kaluve Chikmagalur Fort,1
GNR Gardens Babusapalya,1
Electronic C electronic city,1
Ejipura Main Road Ejipura,1
East Jayanagar,1
E Block Brookefield,1
Dwaraka Nagar Bengaluru Nms Layout,1
Dr Subbarayan Road Agraharam,1
Double Road9th Main Road Ramamurthy Nagar,1
Govt Boys College Main Road Kolar Fort,1
Green Glen Layout Bellandur,1
Heritage Noah's Ark Sarjapura,1
HSR Layout HSR Layout,1
Hennur Bagalur Main Road Byrathi,1
Hebbal,1
Hebbagodi,1
Hanumantha Nagar-Banashankari,1
HSR Sector5/jakkasandra Koramangala,1
HSR Layout Sector 7,1
HSR Layout Sector 3,1
HSR Layout Sector 2,1
HSR LAYOUT SECTOR 5,1
Guava Garden KHB Road Koramangala,1
HRBR Layout Kalyan Nagar,1
HORAMAVU MAIN ROAD Horamavu,1
HMT Main Road Mathikere,1
HBR Layout,1
Gurudwara Road Model Town,1
Guru Nanak Vihar Race Course,1
Gulmohor Road Savedi,1
Guddahalli Thammenahalli Village,1
ajmer Nagra,1
