area,total_centres,total_reviews,demand_supply_ratio
Old Alwal-Alwal,1,90,90.0
Horamavu Main Road Banaswadi,1,89,89.0
Nagarbhavi,2,176,88.0
Vinayaka Layout-Nagarbhavi,1,86,86.0
80 Feet Road Rt Nagar,1,86,86.0
Sodepur Appareddipalya Bengaluru Indiranagar,1,86,86.0
Dodda Basti Main Road Sonnenahalli,1,83,83.0
ITI Layout Kathriguppe,1,82,82.0
Hanumantha Nagar-Banashankari,1,82,82.0
Babusapalya,1,81,81.0
4th Stage Basaveshwara Nagar,1,80,80.0
Dr Rajkumar Road Rajajinagar,2,158,79.0
Sarjapur Road Attibele,1,77,77.0
Off 80 Feet Road Koramangala,1,74,74.0
Ramna Kharbi,1,74,74.0
BTM 4th Stage Vijaya Bank Layout,2,148,74.0
Assaye Road,1,69,69.0
Sahayadri Layout Sidedahalli,1,68,68.0
Beml Layout Rajarajeshwari Nagar,2,130,65.0
Sair Bagh Cunningham Road,1,65,65.0
Marathalli Outer Ring Road Marathahalli,1,64,64.0
12 Bangalore Highways Karumbalai Karuppur,1,64,64.0
Bangalore,8,500,62.5
Robertson Road Frazer Town,1,60,60.0
3rd Floor RMV Extension 2nd Stage,1,60,60.0
HSR Layout,3,174,58.0
Panathur Post Bellandur,1,55,55.0
Sidco Krishnagiri Courts,1,55,55.0
Dollars Colony-RMV 2nd Stage,1,54,54.0
Dasarakoppalu Circle Salagame Road,1,53,53.0
Hennur Bagalur Main Road Byrathi,1,51,51.0
Immadihalli Main Road Whitefield,1,49,49.0
Road Vijayanagar,1,48,48.0
Rt Nagar Rt Nagar,1,47,47.0
Roadclub Road Hsr Layout,1,46,46.0
Tatabad 3rd Street Tatabad,1,44,44.0
Double Road9th Main Road Ramamurthy Nagar,1,42,42.0
Govt Boys College Main Road Kolar Fort,1,42,42.0
Hosur Main Road Electronic City Phase 2,1,41,41.0
Ombr Layout-Banaswadi,2,78,39.0
Banaswadi,1,39,39.0
Whitefield Main Road Whitefield,5,189,37.8
Kempegowda Layout Outer Ring Road Laggere,1,35,35.0
Dasarahalli Main Road Hebbal,1,34,34.0
Victoria Layout Victoria Road,1,31,31.0
1 Street Main Road Ilyas Nagar,1,31,31.0
Judicial Layout Gkvk,1,31,31.0
1st Sector Hsr Layout,1,30,30.0
Opp.Hampinagar Bus Stand Rpc Layout,1,30,30.0
Marsur Gate Marsur,1,29,29.0
Rayasandra Main Road Naganathapura,1,29,29.0
Main Road Golahalli,1,27,27.0
J.p Nagar 6th Jp Nagar,1,26,26.0
Pragati Puram Habibulla Nagar,1,26,26.0
Bondir Wado Panaji Santa Cruz,1,26,26.0
Sudhama Nagar,1,24,24.0
Road Kogilu,1,22,22.0
Agb Layout Chikkabanavara Bengaluru Chikbanavara,1,22,22.0
K. R. Road Jayanagar,1,21,21.0
Vishwajit Layout Vignana Nagar,1,20,20.0
Gowri Kaluve Chikmagalur Fort,1,20,20.0
Muthyalamma Temple Complex Doddaballapura Doddaballapur,1,20,20.0
Kothnur Village Main Road Jp Nagar,1,19,19.0
Channel Road Ck Road,1,19,19.0
Muthyalamma Temple Road Doddaballapur,1,18,18.0
Subbanapalaya,1,18,18.0
Gulmohor Road Savedi,1,17,17.0
2nd Phase Vijaynagar 4th Stage,1,16,16.0
Road Bns Layout,1,16,16.0
Virgonagar,1,15,15.0
Shop. No- 125 Ganesh Nagar Vistar Jaipur Jhotwara,1,15,15.0
Kereguddadahalli,1,15,15.0
Kengeri Ring Road Gnanabharathi,2,28,14.0
Road Yelahanka New Town,1,14,14.0
Netajinagar T Dasarahalli,1,13,13.0
Virat Nagar-Bommanahalli,1,12,12.0
Wazir Hussain Gokhale Vihar Marg,1,12,12.0
Road Agrahara Dasarahalli,1,11,11.0
Gandhi Circle Varthur Varthur,1,11,11.0
Balaji Mandir Pally Sushmapally,1,11,11.0
Nagadevanahalli-gnanabharathi,1,11,11.0
Anand Layout Vidyaranyapura,1,11,11.0
Mathikere Market Road Mathikere,1,11,11.0
Cil Layout,1,10,10.0
Hebbal,1,10,10.0
Yelahanka,1,9,9.0
B Wing 3rd Floor Patni Chowk,1,9,9.0
Joyshree Sangha Kalitala Kolkata Bansdroni,1,9,9.0
Seshadripuram,1,8,8.0
Kothnur Main Road Jp Nagar 7th Phase,1,8,8.0
Annasandrapalya Extension,1,8,8.0
Rayakotta Road Old Rayakottah HUDCO,1,8,8.0
16th Jp Nagar 5th Phase,1,8,8.0
Road Ganga Nagar Extension,1,8,8.0
Wilson Garden,1,8,8.0
HSR Layout Sector 3,1,7,7.0
S Lachit Nagar Main Road,1,7,7.0
Road Goripalya,1,7,7.0
Rs Garden Bommasandra,1,6,6.0
Sector 12 Chopasni Housing Board,1,6,6.0
Thigala Chowdadenahalli Dommasandra,1,6,6.0
100 Feet Road Indiranagar Indiranagar,1,6,6.0
VLM English School Sunder Nagar,1,5,5.0
Basti Gobindgarh Road Nanak Pura,1,5,5.0
Gaddige Main Road Bogadi,1,5,5.0
Sai Baba Temple Next Vidyaranyapura,1,5,5.0
#44 CNR Complex Vinayaka Nagar Yelahanka,1,5,5.0
Street John'S Road St Johns Road,1,4,4.0
Royal Mart Building 2nd Floor Padmanabhanagar,1,4,4.0
Thyagaraj Nagar,1,4,4.0
No.26 2nd Floor Akashya Commercial Complex Victoria Layout,1,4,4.0
Gurudwara Road Model Town,1,3,3.0
Garvebhavipalya,1,3,3.0
Dr Subbarayan Road Agraharam,1,3,3.0
Brindavan Layout Road Horamavu,1,3,3.0
Sitamani Sita Manimain Road,1,3,3.0
Spencer Road Pulikeshi Nagar,1,3,3.0
Heritage Noah's Ark Sarjapura,1,3,3.0
Jakkur Plantation,1,3,3.0
Saraswathipuram Main Road Saraswathipuram,1,3,3.0
Kogilu Main Road Kogilu,1,2,2.0
Panathur Road Kadubeesanahalli,1,2,2.0
Whitefield Whitefield Main Road,1,2,2.0
1st Phase Bharat Nagar,1,2,2.0
2nd Phase Girinagar,1,2,2.0
2nd Stage Rajajinagar,1,2,2.0
Ambedkar Nagar Hill Top Whitefield,2,4,2.0
Nagla Masani Pratibha Colony,1,2,2.0
Nagareshwara Nagenahalli Main Road K Narayanapura,1,2,2.0
Bengaluru Kalkere Bengaluru Dodda Kempaiah Layout,1,2,2.0
Bg Road Krishna Layout Extension,1,2,2.0
Dwaraka Nagar Bengaluru Nms Layout,1,2,2.0
ajmer Nagra,1,2,2.0
Sun Pharma Road Bhaili,1,2,2.0
HSR Layout Sector 7,1,2,2.0
Sanjay Nagar Main Road Sanjay Nagar,1,2,2.0
Gandhi Bazaar main road Basavanagudi,1,1,1.0
HSR LAYOUT SECTOR 5,1,1,1.0
Arakere,1,1,1.0
Kaggadasapura Main Road Kagadasspura,1,1,1.0
Neeladri Road Electronic City,2,2,1.0
HMT Main Road Mathikere,1,1,1.0
Old Bus Stand Road Pandavapura,1,1,1.0
Ist Cross Road Bhagyalakshmi Avenue,1,1,1.0
HSR Layout Sector 1,2,2,1.0
Ayyappa Nagar-Krishnarajapura,1,1,1.0
Hsr Layout Sector 1,1,1,1.0
Outer Ring Road Marathahalli,2,2,1.0
Pes Vidya Kendra Nelamangala Town Nelamangala,1,1,1.0
108 3RD FLOOR 4TH Nagasandra,1,1,1.0
Rajupeta Colony Ramalayam,1,1,1.0
Giddenahalli Road Jigani,1,1,1.0
Vinayaka Layout Nagarbhavi 2nd Stage,1,1,1.0
Electronic C electronic city,1,1,1.0
Road Nagaraja Garden,1,1,1.0
Mysore Road Kumbalgodu,1,1,1.0
Bannerghatta Road Bannerghatta Road,1,1,1.0
Mc Layout,1,1,1.0
Sultanpalya Main Road Rt Nagar,1,1,1.0
Bhagwat Nagar Chauraha,1,1,1.0
Hesarghatta Main Road Hessargatta Main Road,1,1,1.0
Mathikere,2,2,1.0
Brookfield Marathahalli,1,1,1.0
Main Road Kaggadasapura Road,2,2,1.0
Magadi Main Road Anjananagar,1,1,1.0
Laggere Main Road Laggere,1,1,1.0
Ejipura Main Road Ejipura,1,1,1.0
Kundanahalli Kundalahalli,1,1,1.0
Mathikere Main Road Mathikere,1,1,1.0
